review,rating,date,bank,source
kamil aweil,5,8/27/2025,CBE,Google Play Store
nice,3,8/27/2025,CBE,Google Play Store
In your next update can you come with night mode future,5,8/27/2025,CBE,Google Play Store
"Truly, super competitive when compared to a well known app nowadays functioning broadly by simplest features and means namely known as Telebirr super app, Thus, CBE is my top ultimate choice that I prefer over the other bank due to its beautiful power of lead as a result I could recommend CBE to others because of its service provision via ethical principles and practice for customers satisfaction with existence of constraints and challenges face from burglary and froudalent hacker. Thank you !",5,8/27/2025,CBE,Google Play Store
mayreba app you its better if you use other banks,1,8/27/2025,CBE,Google Play Store
Not Prefect Transfer To Other Bank The Mony Not Deliverd Imidetliy Take Three Or Five Days,1,8/27/2025,CBE,Google Play Store
let us know before you shut down the app,4,8/27/2025,CBE,Google Play Store
excited,5,8/27/2025,CBE,Google Play Store
amizing,5,8/26/2025,CBE,Google Play Store
love it,5,8/26/2025,CBE,Google Play Store
yes it is v good,5,8/26/2025,CBE,Google Play Store
A great update in the Mobile Banking Application. Thanks for the System and customization department,5,8/26/2025,CBE,Google Play Store
this app is smart.,5,8/26/2025,CBE,Google Play Store
I am happy,5,8/26/2025,CBE,Google Play Store
Still I have not face critical problems sometimes delay to open,4,8/25/2025,CBE,Google Play Store
ጤና ከድረ,5,8/25/2025,CBE,Google Play Store
The connection between bank and the app is lag relationship this must be corrected.,4,8/25/2025,CBE,Google Play Store
I have forgotten mobail banking password,5,8/25/2025,CBE,Google Play Store
Thank you,5,8/25/2025,CBE,Google Play Store
muktaar Abraahim,5,8/25/2025,CBE,Google Play Store
🤞Good One,5,8/24/2025,CBE,Google Play Store
why does it say change pin to 6 digits is that right?,4,8/24/2025,CBE,Google Play Store
One of the worst mobile banking apps in Ethiopia. You can't access your txn record for more than 2 weeks.,1,8/24/2025,CBE,Google Play Store
i like it and aprshat.,4,8/23/2025,CBE,Google Play Store
"The app has some issues I updated recently and now I am not able to send funds to my telebirr wallet, also we need to have a place we save our contacts where we usually send money to, after update I keep loosing all the important accounts.",4,8/23/2025,CBE,Google Play Store
best app and easy to use,5,8/23/2025,CBE,Google Play Store
doesn't work unless with data doesn't refresh fast other wise functions ok but after the update transferring to telebirr is not working,2,8/23/2025,CBE,Google Play Store
List of transactions can't load over months and years..,1,8/23/2025,CBE,Google Play Store
transferring money to telebirr is not working,1,8/23/2025,CBE,Google Play Store
I don't Like this app and there service fee is highl,5,8/23/2025,CBE,Google Play Store
አዲሱ Update ጥሩ አይደለም. Update ካደረግኩት በኋላ ከዚህ በፊት ስላላክባቸው የነበሩትን Save አድርጎ ይዞት የነበረውን ሁሉንም የሰዎች አካውንቶች አጥፍቶብኛል.,2,8/23/2025,CBE,Google Play Store
this application do not show over all transaction history,3,8/23/2025,CBE,Google Play Store
this app is very nice but statment history is very shiort atlist add 15 days,4,8/22/2025,CBE,Google Play Store
"This app stooped working after i updated it. It says change password and i did, but it doesn't open with the new password. I don't like it.",1,8/22/2025,CBE,Google Play Store
best and secured application,5,8/22/2025,CBE,Google Play Store
This application is excellent .,5,8/22/2025,CBE,Google Play Store
"The new update is very bugged. can't view the names of account holders I previously had transactions with, and more recently, its almost impossible to load money to telebirr, always says unable to connect...please fix asap",1,8/22/2025,CBE,Google Play Store
Thise App is Great,5,8/22/2025,CBE,Google Play Store
