review,rating,date,bank,source,sentiment_label,sentiment_score,identified_themes
some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,CBE,Google Play Store,Positive,0.6249,"['Transaction Performance', 'Customer Support & Service']"
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20,CBE,Google Play Store,Positive,0.4939,"['Transaction Performance', 'Feature Requests & Reliability']"
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20,CBE,Google Play Store,Neutral,0.0,"['Customer Support & Service', 'Feature Requests & Reliability']"
አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,2025-09-20,CBE,Google Play Store,Neutral,0.0,['Other']
asfaw damse,5,2025-09-19,CBE,Google Play Store,Neutral,0.0,['Other']
jabadhaa namatii tolataan,5,2025-09-19,CBE,Google Play Store,Neutral,0.0,['Other']
"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19,CBE,Google Play Store,Positive,0.7269,"['User Interface & Experience', 'Feature Requests & Reliability']"
The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18,CBE,Google Play Store,Positive,0.7184,"['Transaction Performance', 'Feature Requests & Reliability']"
Truly amazing!,5,2025-09-18,CBE,Google Play Store,Positive,0.7717,['Other']
Doesn't have option to generate statement for transactions,3,2025-09-18,CBE,Google Play Store,Neutral,0.0,"['Transaction Performance', 'Feature Requests & Reliability']"
😎,5,2025-09-17,CBE,Google Play Store,Neutral,0.0,['Other']
JanaleBl,5,2025-09-17,CBE,Google Play Store,Neutral,0.0,['Other']
nice application,5,2025-09-17,CBE,Google Play Store,Positive,0.4215,['Other']
WaaaaaaaW,1,2025-09-17,CBE,Google Play Store,Neutral,0.0,['Other']
very nice,5,2025-09-16,CBE,Google Play Store,Positive,0.4215,['Other']
Of,5,2025-09-16,CBE,Google Play Store,Neutral,0.0,['Other']
it's best app to use recently and upgraded day to day for internationalization,4,2025-09-16,CBE,Google Play Store,Positive,0.6369,['Other']
Easy to use and not Complicated 👍,5,2025-09-15,CBE,Google Play Store,Positive,0.4404,['User Interface & Experience']
apdat the app,5,2025-09-14,CBE,Google Play Store,Neutral,0.0,['Other']
good in bankin at any time & any where.,5,2025-09-13,CBE,Google Play Store,Positive,0.4404,['Other']
great,5,2025-09-13,CBE,Google Play Store,Positive,0.6249,['Other']
"WHAT A USELESS APP! Transfers, wallet payments, other banks — nothing works. Updated, restarted, cleared cache, reinstalled — still useless. Crashed and forced me to visit a branch just to log in 3 times. One of the biggest banks in the country can’t fix issues a junior developer could solve. Completely unreliable. Big bank , Zero functionality!",1,2025-09-13,CBE,Google Play Store,Negative,-0.7506,"['Transaction Performance', 'User Interface & Experience', 'Customer Support & Service', 'Feature Requests & Reliability']"
it is best to me,1,2025-09-13,CBE,Google Play Store,Positive,0.6369,['Other']
hayizgi mebrahtom feshay,5,2025-09-13,CBE,Google Play Store,Neutral,0.0,['Other']
